"date","expt","recombined_construct","pseudovirus_inoc","live_singlets","mfi_grn","pct_red","mfi_grn_gvn_red"
200709,"Staining","None","Dox",NA,11.083527,NA,18.076275
200709,"Staining","G758A","Dox",NA,11.570896,NA,11.894276
200709,"Staining","G698C","Dox",NA,1391.796265,NA,2105.607178
200709,"Staining","G734A","Dox",NA,26.163065,NA,33.361839
200709,"Staining","G735A","Dox",NA,11.638698,NA,12.198524
200709,"Staining","G755A","Dox",NA,16.899002,NA,19.523493
200709,"Staining","G756A","Dox",NA,11.347088,NA,13.282277
200709,"Staining","G757A","Dox",NA,10.496306,NA,12.098738
200710,"Staining","None","Dox",7434,38.551178,10.344364,42.81493
200710,"Staining","G627B","Dox",60279,427.143463,53.86453,878.188599
200710,"Staining","G698C","Dox",63420,734.409302,42.609587,1203.111328
200710,"Staining","G714C","Dox",54130,976.345459,47.624238,1469.734741
200710,"Staining","G719B","Dox",69190,518.799377,75.640989,672.002136
200714,"Staining","None","Dox",44029,11.176035,0.009085,13.765252
200714,"Staining","G758A","Dox",26135,11.286143,82.900325,11.682727
200714,"Staining","G698C","Dox",37896,568.99707,57.808212,872.078003
200714,"Staining","G734A","Dox",30700,13.749331,62.612378,15.870979
200714,"Staining","G735A","Dox",33406,10.666471,55.211639,11.846864
200714,"Staining","G755A","Dox",23755,12.161964,35.685119,15.411244
200714,"Staining","G756A","Dox",21278,11.448208,26.473353,14.910503
200714,"Staining","G757A","Dox",22230,11.126292,34.840306,13.278894
200714,"Staining","None","Dox",21431,15.222857,0.032663,6.549369
200714,"Staining","G627B","Dox",24181,533.429749,71.349407,991.530762
200714,"Staining","G698C","Dox",26643,473.771637,54.171827,839.613525
200714,"Staining","G714C","Dox",25840,552.529053,58.72678,1074.455688
200714,"Staining","G719B","Dox",30099,457.321442,91.723978,564.75354
200716,"Staining","G627B","No_dox",4573,13.819508,0.328012,649.31427
200716,"Staining","G714C","No_dox",3658,12.160275,0.027337,329.528015
200716,"Staining","G627B","Dox",1618,1161.850586,65.883807,2511.398926
200716,"Staining","G698C","Dox",2105,1151.271484,47.553444,2487.620605
200716,"Staining","G714C","Dox",1432,1308.303589,61.312849,2704.675049
200716,"Staining","G719B","Dox",2109,890.00769,93.029872,1041.686157
200716,"Staining","None","Dox",18897,10.667738,0.037043,716.000732
200716,"Staining","G758A","Dox",14704,12.490602,73.850653,13.254467
200716,"Staining","G698C","Dox",19376,1538.068604,47.099505,2587.683594
200716,"Staining","G734A","Dox",14802,17.698181,56.890961,23.405556
200716,"Staining","G735A","Dox",28113,11.008539,47.298403,13.450909
200716,"Staining","G755A","Dox",12606,13.10369,31.469142,18.873028
200716,"Staining","G756A","Dox",14042,11.550305,20.118217,16.812874
200716,"Staining","G757A","Dox",14421,11.265641,31.204493,15.882441
200720,"Staining","None","Dox",16952,43.749718,0.035394,287.498108
200720,"Staining","G758A","Dox",11998,40.285007,83.597266,41.147442
200720,"Staining","G698C","Dox",15525,1219.177246,49.732689,1875.160889
200720,"Staining","G734A","Dox",17160,61.030617,54.726107,74.625793
200720,"Staining","G735A","Dox",14936,42.2444,48.399839,48.881191
200720,"Staining","G755A","Dox",14229,38.877712,34.057207,49.959141
200720,"Staining","G756A","Dox",11515,41.776943,26.730352,55.500504
200720,"Staining","G757A","Dox",15575,36.9319,36.449438,44.691601
200721,"Staining","None","No_dox",18448,40.588242,0.16804,566.565063
200721,"Staining","G627B","No_dox",22328,43.240967,2.543891,94.133102
200721,"Staining","G698C","No_dox",21441,40.436741,0.340469,567.777832
200721,"Staining","G714C","No_dox",23288,38.485794,0.386465,224.983078
200721,"Staining","G719B","No_dox",25261,41.722645,0.443371,307.24231
200721,"Staining","None","Dox",25031,48.929985,0.207742,646.308655
200721,"Staining","G627B","Dox",26358,1946.706909,97.264588,2057.760986
200721,"Staining","G698C","Dox",27602,1898.048706,95.134411,1958.634766
200721,"Staining","G714C","Dox",22481,2031.634155,99.319425,2070.173828
200721,"Staining","G719B","Dox",22638,1599.325806,99.986748,1599.565552
200724,"Staining","None","No_dox",18453,52.866718,0.048773,1362.764404
200724,"Staining","G627B","No_dox",13756,67.561035,2.260832,141.984879
200724,"Staining","G698C","No_dox",10846,64.443993,0.21206,436.188141
200724,"Staining","G714C","No_dox",12287,50.574387,0.12208,188.077606
200724,"Staining","G719B","No_dox",14235,58.104084,0.259923,176.249969
200724,"Staining","None","Dox",13158,62.519264,0.0456,2217.904785
200724,"Staining","G627B","Dox",13280,1750.194214,96.626506,1840.616455
200724,"Staining","G698C","Dox",11834,1440.513306,93.113064,1489.850098
200724,"Staining","G714C","Dox",16801,1375.556396,98.636986,1405.445312
200724,"Staining","G719B","Dox",12188,957.66571,99.770266,954.900146
